اسم الشركة,نوع الشركة,القطاع,رقم السجل التجاري,العنوان,المدينة,المنطقة,رقم الهاتف,البريد الإلكتروني,خط العرض,خط الطول,رقم الفاتورة,تاريخ الفاتورة,تاريخ الاستحقاق,نوع الفاتورة,المبلغ (ر.ق),الضريبة (5%),المبلغ الإجمالي (ر.ق),حالة الدفع,طريقة الدفع,تقييم مخاطر الفاتورة,فجوة الإيرادات/الضريبة المحتملة (ر.ق)
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1000,2025-01-11,2025-05-22,فاتورة أجور,44725.99,2236.3,46962.29,مدفوعة,بطاقة,منخفض,0.0
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1001,2024-09-12,2025-06-20,فاتورة تدريب,38893.99,1944.7,40838.69,مدفوعة,بطاقة,منخفض,0.0
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1002,2024-11-27,2025-05-11,فاتورة شحن,43392.24,2169.61,45561.85,غير مدفوعة,تحويل بنكي,متوسط,2169.61
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1003,2024-07-07,2025-06-20,فاتورة خدمات,35735.76,1786.79,37522.55,مدفوعة,تحويل بنكي,منخفض,0.0
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1004,2024-08-22,2025-06-17,فاتورة اتصالات,24907.89,1245.39,26153.28,غير مدفوعة,نقداً,متوسط,1245.39
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1005,2024-12-12,2025-05-29,فاتورة رسوم حكومية,43951.31,2197.57,46148.88,مدفوعة,تحويل بنكي,منخفض,0.0
"Tucker, Odonnell and Wallace",مساهمة,النقل,69213476,"43931 Nicholas Prairie Suite 912
North Valerie, LA 28296",الدوحة,المنطقة 91,4277790504,slambert@example.org,25.464724,51.14076,INV-1006,2024-06-15,2025-06-24,فاتورة خدمات,1462.97,73.15,1536.12,مدفوعة,تحويل بنكي,منخفض,0.0
Morton-Gonzalez,فردية,الخدمات,97554709,"23931 Laura View
West Julia, WY 69328",الخور,المنطقة 91,5972727691,gmacias@example.com,25.666236,50.961499,INV-1007,2024-11-02,2025-05-30,فاتورة اشتراك سنوي,38657.03,1932.85,40589.88,غير مدفوعة,تحويل بنكي,متوسط,1932.85
Morton-Gonzalez,فردية,الخدمات,97554709,"23931 Laura View
West Julia, WY 69328",الخور,المنطقة 91,5972727691,gmacias@example.com,25.666236,50.961499,INV-1008,2025-03-20,2025-06-25,فاتورة تدريب,12073.99,603.7,12677.69,غير مدفوعة,بطاقة,متوسط,603.7
Morton-Gonzalez,فردية,الخدمات,97554709,"23931 Laura View
West Julia, WY 69328",الخور,المنطقة 91,5972727691,gmacias@example.com,25.666236,50.961499,INV-1009,2025-02-01,2025-05-19,فاتورة تسويق رقمي,19612.44,980.62,20593.06,متأخرة,شيك,مرتفع,980.62
